5
001Iris-setosa;5.1;3.5;1.4;0.2;0
002Iris-setosa;4.9;3.0;1.4;0.2;0
003Iris-setosa;4.7;3.2;1.3;0.2;0
004Iris-setosa;4.6;3.1;1.5;0.2;0
005Iris-setosa;5.0;3.6;1.4;0.2;0
006Iris-setosa;5.4;3.9;1.7;0.4;0
007Iris-setosa;4.6;3.4;1.4;0.3;0
008Iris-setosa;5.0;3.4;1.5;0.2;0
009Iris-setosa;4.4;2.9;1.4;0.2;0
010Iris-setosa;4.9;3.1;1.5;0.1;0
011Iris-setosa;5.4;3.7;1.5;0.2;0
012Iris-setosa;4.8;3.4;1.6;0.2;0
013Iris-setosa;4.8;3.0;1.4;0.1;0
014Iris-setosa;4.3;3.0;1.1;0.1;0
015Iris-setosa;5.8;4.0;1.2;0.2;0
016Iris-setosa;5.7;4.4;1.5;0.4;0
017Iris-setosa;5.4;3.9;1.3;0.4;0
018Iris-setosa;5.1;3.5;1.4;0.3;0
019Iris-setosa;5.7;3.8;1.7;0.3;0
020Iris-setosa;5.1;3.8;1.5;0.3;0
021Iris-setosa;5.4;3.4;1.7;0.2;0
022Iris-setosa;5.1;3.7;1.5;0.4;0
023Iris-setosa;4.6;3.6;1.0;0.2;0
024Iris-setosa;5.1;3.3;1.7;0.5;0
025Iris-setosa;4.8;3.4;1.9;0.2;0
026Iris-setosa;5.0;3.0;1.6;0.2;0
027Iris-setosa;5.0;3.4;1.6;0.4;0
028Iris-setosa;5.2;3.5;1.5;0.2;0
029Iris-setosa;5.2;3.4;1.4;0.2;0
030Iris-setosa;4.7;3.2;1.6;0.2;0
031Iris-setosa;4.8;3.1;1.6;0.2;0
032Iris-setosa;5.4;3.4;1.5;0.4;0
033Iris-setosa;5.2;4.1;1.5;0.1;0
034Iris-setosa;5.5;4.2;1.4;0.2;0
035Iris-setosa;4.9;3.1;1.5;0.1;0
036Iris-setosa;5.0;3.2;1.2;0.2;0
037Iris-setosa;5.5;3.5;1.3;0.2;0
038Iris-setosa;4.9;3.1;1.5;0.1;0
039Iris-setosa;4.4;3.0;1.3;0.2;0
040Iris-setosa;5.1;3.4;1.5;0.2;0
041Iris-setosa;5.0;3.5;1.3;0.3;0
042Iris-setosa;4.5;2.3;1.3;0.3;0
043Iris-setosa;4.4;3.2;1.3;0.2;0
044Iris-setosa;5.0;3.5;1.6;0.6;0
045Iris-setosa;5.1;3.8;1.9;0.4;0
046Iris-setosa;4.8;3.0;1.4;0.3;0
047Iris-setosa;5.1;3.8;1.6;0.2;0
048Iris-setosa;4.6;3.2;1.4;0.2;0
049Iris-setosa;5.3;3.7;1.5;0.2;0
050Iris-setosa;5.0;3.3;1.4;0.2;0
051Iris-versicolor;7.0;3.2;4.7;1.4;1
052Iris-versicolor;6.4;3.2;4.5;1.5;1
053Iris-versicolor;6.9;3.1;4.9;1.5;1
054Iris-versicolor;5.5;2.3;4.0;1.3;1
055Iris-versicolor;6.5;2.8;4.6;1.5;1
056Iris-versicolor;5.7;2.8;4.5;1.3;1
057Iris-versicolor;6.3;3.3;4.7;1.6;1
058Iris-versicolor;4.9;2.4;3.3;1.0;1
059Iris-versicolor;6.6;2.9;4.6;1.3;1
060Iris-versicolor;5.2;2.7;3.9;1.4;1
061Iris-versicolor;5.0;2.0;3.5;1.0;1
062Iris-versicolor;5.9;3.0;4.2;1.5;1
063Iris-versicolor;6.0;2.2;4.0;1.0;1
064Iris-versicolor;6.1;2.9;4.7;1.4;1
065Iris-versicolor;5.6;2.9;3.6;1.3;1
066Iris-versicolor;6.1;3.1;4.4;1.4;1
067Iris-versicolor;5.6;3.0;4.5;1.5;1
068Iris-versicolor;5.8;2.7;4.1;1.0;1
069Iris-versicolor;6.2;2.2;4.5;1.5;1
070Iris-versicolor;5.6;2.5;3.9;1.1;1
071Iris-versicolor;5.9;3.2;4.8;1.8;1
072Iris-versicolor;6.1;2.8;4.0;1.3;1
073Iris-versicolor;6.3;2.5;4.9;1.5;1
074Iris-versicolor;6.1;2.8;4.7;1.2;1
075Iris-versicolor;6.4;2.9;4.3;1.3;1
076Iris-versicolor;6.6;3.0;4.4;1.4;1
077Iris-versicolor;6.8;2.8;4.8;1.4;1
078Iris-versicolor;6.7;3.0;5.0;1.7;1
079Iris-versicolor;6.0;2.9;4.5;1.5;1
080Iris-versicolor;5.7;2.6;3.5;1.0;1
081Iris-versicolor;5.5;2.4;3.8;1.1;1
082Iris-versicolor;5.5;2.4;3.7;1.0;1
083Iris-versicolor;5.8;2.7;3.9;1.2;1
084Iris-versicolor;6.0;2.7;5.1;1.6;1
085Iris-versicolor;5.4;3.0;4.5;1.5;1
086Iris-versicolor;6.0;3.4;4.5;1.6;1
087Iris-versicolor;6.7;3.1;4.7;1.5;1
088Iris-versicolor;6.3;2.3;4.4;1.3;1
089Iris-versicolor;5.6;3.0;4.1;1.3;1
090Iris-versicolor;5.5;2.5;4.0;1.3;1
091Iris-versicolor;5.5;2.6;4.4;1.2;1
092Iris-versicolor;6.1;3.0;4.6;1.4;1
093Iris-versicolor;5.8;2.6;4.0;1.2;1
094Iris-versicolor;5.0;2.3;3.3;1.0;1
095Iris-versicolor;5.6;2.7;4.2;1.3;1
096Iris-versicolor;5.7;3.0;4.2;1.2;1
097Iris-versicolor;5.7;2.9;4.2;1.3;1
098Iris-versicolor;6.2;2.9;4.3;1.3;1
099Iris-versicolor;5.1;2.5;3.0;1.1;1
100Iris-versicolor;5.7;2.8;4.1;1.3;1
101Iris-virginica;6.3;3.3;6.0;2.5;2
102Iris-virginica;5.8;2.7;5.1;1.9;2
103Iris-virginica;7.1;3.0;5.9;2.1;2
104Iris-virginica;6.3;2.9;5.6;1.8;2
105Iris-virginica;6.5;3.0;5.8;2.2;2
106Iris-virginica;7.6;3.0;6.6;2.1;2
107Iris-virginica;6.9;2.5;4.5;1.7;2
108Iris-virginica;7.3;2.9;6.3;1.8;2
109Iris-virginica;6.7;2.5;5.8;1.8;2
110Iris-virginica;7.2;3.6;6.1;2.5;2
111Iris-virginica;6.5;3.2;5.1;2.0;2
